id,produce_type,name,method,drying_temperature_C,typical_drying_time_min
1100,Vegetable,Garlic,Freeze-Drying,-6.2,1336
1101,Fruit,Papaya,Microwave,67.4,25
1102,Fruit,Lychee,Hot-Air,57.9,441
1103,Vegetable,Mint Leaves,Sun,47.2,899
1104,Fruit,Peach,Microwave,67.8,71
1105,Fruit,Peach,Sun,38.2,1066
1106,Fruit,Kiwi,Sun,33.9,1327
1107,Vegetable,Cauliflower,Microwave,57.0,76
1108,Fruit,Guava,Sun,40.6,1143
1109,Vegetable,Tomato,Solar,41.1,752
1110,Vegetable,Cucumber,Freeze-Drying,15.4,1411
1111,Vegetable,Mint Leaves,Sun,53.5,883
1112,Vegetable,Pumpkin,Solar,36.7,587
1113,Vegetable,Carrot,Microwave,70.9,90
1114,Fruit,Blueberry,Hot-Air,67.2,346
1115,Vegetable,Pumpkin,Sun,45.8,1280
1116,Fruit,Guava,Freeze-Drying,-2.8,1367
1117,Vegetable,Broccoli,Vacuum,41.5,738
1118,Fruit,Orange,Hot-Air,52.2,222
1119,Vegetable,Garlic,Microwave,71.8,31
1120,Vegetable,Eggplant,Microwave,76.1,41
1121,Fruit,Mango,Sun,31.9,942
1122,Fruit,Kiwi,Vacuum,68.4,350
1123,Fruit,Dragon Fruit,Vacuum,60.2,566
1124,Fruit,Pomegranate,Sun,42.4,992
1125,Fruit,Pomegranate,Microwave,69.5,19
1126,Vegetable,Carrot,Microwave,60.3,32
1127,Fruit,Strawberry,Microwave,51.1,14
1128,Vegetable,Coriander Leaves,Microwave,51.8,69
1129,Vegetable,Green Peas,Sun,41.7,849
1130,Fruit,Apricot,Sun,51.0,1221
1131,Fruit,Guava,Freeze-Drying,5.5,1166
1132,Fruit,Jackfruit,Sun,36.2,664
1133,Vegetable,Carrot,Vacuum,38.0,663
1134,Fruit,Orange,Sun,33.3,863
1135,Fruit,Kiwi,Hot-Air,63.6,495
1136,Fruit,Kiwi,Hot-Air,70.3,571
1137,Fruit,Dragon Fruit,Freeze-Drying,-39.3,1195
1138,Vegetable,Onion,Vacuum,52.5,450
1139,Vegetable,Carrot,Sun,53.3,1098
1140,Vegetable,Chili Pepper,Vacuum,47.0,324
1141,Vegetable,Cucumber,Sun,43.9,631
1142,Fruit,Plum,Microwave,52.0,31
1143,Fruit,Sapota,Vacuum,59.8,329
1144,Fruit,Pineapple,Freeze-Drying,-15.8,1714
1145,Fruit,Watermelon,Solar,55.9,799
1146,Vegetable,Cucumber,Solar,54.4,764
1147,Fruit,Orange,Solar,61.9,640
1148,Fruit,Kiwi,Hot-Air,76.1,422
1149,Fruit,Kiwi,Solar,36.3,897
1150,Vegetable,Carrot,Hot-Air,89.3,199
1151,Vegetable,Carrot,Solar,51.2,1151
1152,Fruit,Apricot,Solar,58.1,586
1153,Fruit,Sapota,Microwave,71.0,62
1154,Fruit,Sapota,Solar,44.8,801
1155,Fruit,Pineapple,Vacuum,54.6,573
1156,Vegetable,Cauliflower,Microwave,64.5,58
1157,Fruit,Banana,Freeze-Drying,-24.6,1253
1158,Fruit,Pomegranate,Solar,38.7,525
1159,Fruit,Pineapple,Vacuum,42.9,393
1160,Fruit,Watermelon,Vacuum,61.6,509
1161,Vegetable,Broccoli,Freeze-Drying,-3.3,970
1162,Fruit,Papaya,Hot-Air,87.0,485
1163,Fruit,Jackfruit,Freeze-Drying,-39.5,1396
1164,Vegetable,Cucumber,Hot-Air,86.5,237
1165,Vegetable,Onion,Sun,46.3,920
1166,Vegetable,Broccoli,Vacuum,31.9,681
1167,Vegetable,Mushroom,Solar,37.0,1198
1168,Vegetable,Mint Leaves,Solar,59.8,1025
1169,Vegetable,Coriander Leaves,Hot-Air,46.5,411
1170,Fruit,Pineapple,Microwave,63.4,19
1171,Fruit,Pomegranate,Sun,30.3,904
1172,Fruit,Lychee,Vacuum,56.3,463
1173,Vegetable,Ginger,Sun,39.2,900
1174,Vegetable,Cucumber,Freeze-Drying,-4.9,1473
1175,Fruit,Guava,Freeze-Drying,-21.9,894
1176,Vegetable,Bitter Gourd,Solar,48.5,692
1177,Fruit,Strawberry,Freeze-Drying,-7.8,1755
1178,Fruit,Watermelon,Freeze-Drying,19.6,1814
1179,Vegetable,Ginger,Sun,49.4,853
1180,Vegetable,Carrot,Freeze-Drying,6.9,1721
1181,Fruit,Jackfruit,Freeze-Drying,-23.3,1060
1182,Fruit,Sapota,Hot-Air,47.1,355
1183,Vegetable,Mint Leaves,Microwave,72.6,10
1184,Fruit,Mango,Hot-Air,58.9,358
1185,Vegetable,Ginger,Hot-Air,88.0,419
1186,Vegetable,Cabbage,Hot-Air,81.1,121
1187,Fruit,Fig,Solar,38.7,1056
1188,Vegetable,Mint Leaves,Solar,56.4,658
1189,Vegetable,Potato,Hot-Air,51.7,537
1190,Vegetable,Broccoli,Microwave,75.9,81
1191,Fruit,Mango,Microwave,59.8,17
1192,Vegetable,Mint Leaves,Solar,39.9,1099
1193,Fruit,Fig,Hot-Air,47.9,447
1194,Vegetable,Broccoli,Hot-Air,80.7,590
1195,Vegetable,Potato,Vacuum,61.8,703
1196,Fruit,Fig,Sun,44.7,668
1197,Vegetable,Ginger,Vacuum,51.3,772
1198,Fruit,Cherry,Freeze-Drying,-4.3,1767
1199,Vegetable,Onion,Microwave,71.0,76
1200,Vegetable,Ginger,Microwave,52.6,82
1201,Fruit,Cherry,Solar,50.5,545
1202,Fruit,Dragon Fruit,Microwave,59.0,12
1203,Vegetable,Tomato,Vacuum,67.3,460
1204,Vegetable,Bell Pepper,Hot-Air,63.8,289
1205,Fruit,Apple,Hot-Air,53.1,268
1206,Vegetable,Bitter Gourd,Sun,48.5,757
1207,Vegetable,Cucumber,Vacuum,31.6,570
1208,Fruit,Mango,Microwave,71.8,60
1209,Fruit,Peach,Solar,59.6,481
1210,Fruit,Sapota,Sun,51.8,1378
1211,Fruit,Fig,Freeze-Drying,11.8,1270
1212,Vegetable,Coriander Leaves,Freeze-Drying,-35.1,1600
1213,Fruit,Blueberry,Vacuum,54.1,448
1214,Fruit,Peach,Solar,44.0,1142
1215,Vegetable,Ginger,Solar,44.8,1031
1216,Fruit,Watermelon,Vacuum,33.4,247
1217,Vegetable,Eggplant,Sun,37.1,922
1218,Vegetable,Okra,Vacuum,60.3,323
1219,Vegetable,Coriander Leaves,Solar,53.0,787
1220,Fruit,Papaya,Vacuum,37.9,343
1221,Fruit,Dragon Fruit,Hot-Air,76.3,332
1222,Fruit,Strawberry,Vacuum,33.5,542
1223,Vegetable,Coriander Leaves,Hot-Air,60.2,181
1224,Vegetable,Green Peas,Microwave,56.7,42
1225,Fruit,Guava,Vacuum,60.7,550
1226,Fruit,Mango,Freeze-Drying,-5.2,1784
1227,Vegetable,Garlic,Freeze-Drying,17.4,1817
1228,Fruit,Guava,Hot-Air,50.3,557
1229,Fruit,Papaya,Vacuum,52.4,672
1230,Vegetable,Carrot,Vacuum,40.7,432
1231,Vegetable,Onion,Vacuum,40.5,411
1232,Vegetable,Beetroot,Microwave,51.3,46
1233,Vegetable,Okra,Freeze-Drying,8.8,1325
1234,Vegetable,Tomato,Vacuum,44.2,626
1235,Fruit,Pineapple,Hot-Air,40.2,123
1236,Fruit,Pomegranate,Freeze-Drying,20.0,879
1237,Fruit,Pomegranate,Solar,50.1,863
1238,Fruit,Custard Apple,Vacuum,59.0,682
1239,Vegetable,Garlic,Hot-Air,40.1,523
1240,Fruit,Grapes,Hot-Air,75.7,222
1241,Fruit,Guava,Freeze-Drying,14.5,1977
1242,Fruit,Pomegranate,Vacuum,61.5,548
1243,Vegetable,Bell Pepper,Solar,62.0,673
1244,Fruit,Fig,Freeze-Drying,16.6,1583
1245,Fruit,Kiwi,Microwave,50.8,72
1246,Fruit,Grapes,Hot-Air,54.7,425
1247,Vegetable,Green Peas,Vacuum,42.7,596
1248,Vegetable,Garlic,Sun,42.0,644
1249,Fruit,Pear,Freeze-Drying,-9.3,1535
1250,Fruit,Pineapple,Sun,50.4,1242
1251,Vegetable,Bell Pepper,Microwave,59.5,50
1252,Vegetable,Mint Leaves,Hot-Air,74.8,396
1253,Vegetable,Carrot,Solar,41.9,825
1254,Vegetable,Drumstick,Sun,49.9,811
1255,Fruit,Watermelon,Freeze-Drying,-25.0,1626
1256,Fruit,Apple,Vacuum,35.3,262
1257,Vegetable,Tomato,Solar,35.0,914
1258,Fruit,Jackfruit,Vacuum,37.5,512
1259,Fruit,Grapes,Sun,44.3,1493
1260,Fruit,Peach,Sun,32.0,1294
1261,Vegetable,Broccoli,Hot-Air,77.4,232
1262,Fruit,Kiwi,Sun,45.7,1293
1263,Vegetable,Green Peas,Solar,64.9,1135
1264,Fruit,Sapota,Hot-Air,74.0,136
1265,Fruit,Fig,Sun,47.4,1162
1266,Vegetable,Cucumber,Microwave,51.7,34
1267,Fruit,Lychee,Sun,51.6,855
1268,Fruit,Apricot,Freeze-Drying,-4.9,1620
1269,Fruit,Grapes,Freeze-Drying,-2.1,1057
1270,Fruit,Plum,Hot-Air,41.1,343
1271,Fruit,Lemon,Solar,40.4,1146
1272,Fruit,Plum,Sun,41.0,1155
1273,Vegetable,Cauliflower,Solar,63.5,566
1274,Vegetable,Chili Pepper,Hot-Air,63.2,287
1275,Vegetable,Carrot,Microwave,60.1,83
1276,Fruit,Sapota,Vacuum,54.0,615
1277,Fruit,Lychee,Solar,62.9,1036
1278,Vegetable,Eggplant,Solar,51.9,548
1279,Vegetable,Cauliflower,Microwave,73.1,16
1280,Fruit,Pomegranate,Solar,45.7,1032
1281,Fruit,Apricot,Vacuum,68.8,797
1282,Fruit,Pomegranate,Freeze-Drying,4.8,1517
1283,Vegetable,Chili Pepper,Solar,44.0,1191
1284,Vegetable,Radish,Solar,57.4,1139
1285,Vegetable,Cucumber,Freeze-Drying,2.9,775
1286,Vegetable,Radish,Vacuum,53.9,543
1287,Fruit,Custard Apple,Microwave,75.4,73
1288,Vegetable,Potato,Hot-Air,58.3,545
1289,Fruit,Grapes,Solar,37.6,1025
1290,Vegetable,Spinach,Microwave,74.4,60
1291,Vegetable,Drumstick,Freeze-Drying,-7.3,1406
1292,Vegetable,Spinach,Sun,48.5,1356
1293,Vegetable,Cucumber,Solar,52.7,627
1294,Vegetable,Onion,Vacuum,64.1,290
1295,Vegetable,Garlic,Solar,36.2,805
1296,Vegetable,Chili Pepper,Solar,61.3,740
1297,Vegetable,Onion,Solar,37.8,563
1298,Fruit,Lychee,Freeze-Drying,22.5,1870
1299,Vegetable,Ginger,Hot-Air,60.3,357
1300,Fruit,Banana,Microwave,75.7,61
1301,Fruit,Banana,Sun,51.9,765
1302,Fruit,Guava,Freeze-Drying,-27.2,1786
1303,Vegetable,Radish,Hot-Air,73.1,272
1304,Fruit,Pomegranate,Vacuum,34.1,538
1305,Fruit,Plum,Microwave,57.6,22
1306,Vegetable,Cauliflower,Sun,53.7,750
1307,Fruit,Apple,Freeze-Drying,7.7,1787
1308,Fruit,Kiwi,Freeze-Drying,12.1,1202
1309,Vegetable,Broccoli,Freeze-Drying,-26.3,1490
1310,Vegetable,Bell Pepper,Vacuum,69.6,658
1311,Fruit,Pear,Hot-Air,60.2,546
1312,Fruit,Pineapple,Microwave,65.7,59
1313,Fruit,Cherry,Solar,52.8,622
1314,Fruit,Peach,Microwave,77.6,50
1315,Fruit,Dragon Fruit,Vacuum,61.2,492
1316,Vegetable,Cabbage,Solar,53.1,874
1317,Fruit,Lychee,Vacuum,64.0,361
1318,Fruit,Apple,Vacuum,62.8,327
1319,Vegetable,Pumpkin,Sun,33.7,1194
1320,Vegetable,Cucumber,Sun,47.7,603
1321,Fruit,Apple,Freeze-Drying,-33.4,909
1322,Fruit,Orange,Sun,46.6,1433
1323,Fruit,Fig,Hot-Air,65.6,600
1324,Fruit,Papaya,Vacuum,50.1,598
1325,Fruit,Peach,Freeze-Drying,8.3,1374
1326,Vegetable,Onion,Hot-Air,75.0,456
1327,Vegetable,Bitter Gourd,Solar,38.1,954
1328,Fruit,Cherry,Freeze-Drying,18.6,1406
1329,Fruit,Orange,Hot-Air,74.0,501
1330,Fruit,Fig,Hot-Air,82.1,127
1331,Fruit,Pear,Hot-Air,81.3,240
1332,Vegetable,Potato,Freeze-Drying,8.3,1330
1333,Vegetable,Bitter Gourd,Sun,43.6,1312
1334,Vegetable,Potato,Freeze-Drying,4.3,876
1335,Fruit,Fig,Sun,48.5,1201
1336,Vegetable,Coriander Leaves,Vacuum,36.2,413
1337,Fruit,Peach,Hot-Air,56.8,407
1338,Fruit,Apricot,Sun,31.1,1285
1339,Vegetable,Radish,Freeze-Drying,-24.6,1117
1340,Fruit,Fig,Freeze-Drying,-34.9,814
1341,Vegetable,Chili Pepper,Microwave,52.8,16
1342,Fruit,Kiwi,Freeze-Drying,21.6,1901
1343,Vegetable,Garlic,Hot-Air,89.9,578
1344,Fruit,Banana,Vacuum,61.8,305
1345,Vegetable,Eggplant,Hot-Air,58.8,450
1346,Fruit,Grapes,Sun,46.3,701
1347,Fruit,Blueberry,Hot-Air,46.3,230
1348,Fruit,Pear,Solar,45.9,600
1349,Fruit,Orange,Hot-Air,41.5,185
1350,Fruit,Papaya,Hot-Air,55.2,253
1351,Fruit,Apricot,Solar,49.9,598
1352,Fruit,Lychee,Hot-Air,83.1,230
1353,Fruit,Apple,Sun,32.5,1238
1354,Vegetable,Coriander Leaves,Microwave,78.7,74
1355,Vegetable,Green Peas,Microwave,63.1,42
1356,Vegetable,Cauliflower,Vacuum,59.8,695
1357,Fruit,Pomegranate,Microwave,59.7,77
1358,Vegetable,Cucumber,Sun,33.0,1428
1359,Vegetable,Spinach,Vacuum,65.8,516
1360,Fruit,Apricot,Sun,53.3,1093
1361,Fruit,Orange,Microwave,58.4,56
1362,Vegetable,Radish,Microwave,77.3,47
1363,Fruit,Cherry,Freeze-Drying,0.0,1037
1364,Vegetable,Coriander Leaves,Sun,30.1,1086
1365,Vegetable,Ginger,Vacuum,33.7,578
1366,Fruit,Orange,Freeze-Drying,-17.9,1975
1367,Fruit,Plum,Freeze-Drying,4.5,640
1368,Vegetable,Radish,Sun,30.1,1324
1369,Vegetable,Bitter Gourd,Solar,40.9,659
1370,Fruit,Pineapple,Sun,52.5,601
1371,Vegetable,Potato,Solar,40.5,1102
1372,Vegetable,Okra,Solar,35.1,854
1373,Vegetable,Garlic,Hot-Air,43.3,243
1374,Fruit,Lemon,Freeze-Drying,-0.9,1638
1375,Fruit,Blueberry,Freeze-Drying,-8.7,1809
1376,Fruit,Pomegranate,Vacuum,60.3,524
1377,Vegetable,Chili Pepper,Vacuum,41.0,261
1378,Vegetable,Okra,Sun,37.7,739
1379,Vegetable,Tomato,Hot-Air,63.9,347
1380,Vegetable,Tomato,Microwave,58.1,74
1381,Vegetable,Green Peas,Microwave,67.7,40
1382,Vegetable,Carrot,Solar,59.0,1175
1383,Vegetable,Bitter Gourd,Hot-Air,56.1,597
1384,Fruit,Custard Apple,Microwave,79.0,60
1385,Vegetable,Spinach,Microwave,76.4,69
1386,Fruit,Apple,Hot-Air,47.4,147
1387,Fruit,Watermelon,Vacuum,52.5,296
1388,Vegetable,Tomato,Hot-Air,66.1,369
1389,Vegetable,Ginger,Sun,35.4,933
1390,Fruit,Lemon,Freeze-Drying,22.8,883
1391,Fruit,Sapota,Hot-Air,82.3,428
1392,Vegetable,Cauliflower,Freeze-Drying,22.1,1441
1393,Fruit,Dragon Fruit,Sun,38.3,1289
1394,Fruit,Sapota,Hot-Air,60.0,556
1395,Vegetable,Cucumber,Sun,41.4,908
1396,Fruit,Blueberry,Microwave,58.9,57
1397,Vegetable,Onion,Freeze-Drying,4.0,728
1398,Vegetable,Okra,Microwave,70.3,40
1399,Fruit,Custard Apple,Sun,51.6,1223
1400,Fruit,Watermelon,Freeze-Drying,-25.4,616
1401,Vegetable,Ginger,Freeze-Drying,-3.1,628
1402,Vegetable,Pumpkin,Vacuum,65.5,696
1403,Fruit,Pomegranate,Freeze-Drying,-37.4,806
1404,Vegetable,Garlic,Microwave,64.9,68
1405,Fruit,Papaya,Vacuum,32.4,494
1406,Vegetable,Cucumber,Vacuum,55.7,584
1407,Vegetable,Bell Pepper,Microwave,75.7,22
1408,Vegetable,Onion,Hot-Air,52.2,580
1409,Fruit,Dragon Fruit,Vacuum,53.2,493
1410,Vegetable,Ginger,Microwave,51.2,88
1411,Vegetable,Mushroom,Solar,51.1,1172
1412,Fruit,Apricot,Sun,34.3,1119
1413,Fruit,Guava,Vacuum,57.2,414
1414,Fruit,Pomegranate,Microwave,52.3,18
1415,Fruit,Pear,Vacuum,59.4,686
1416,Vegetable,Radish,Freeze-Drying,-4.2,1319
1417,Fruit,Sapota,Microwave,72.6,25
1418,Fruit,Custard Apple,Solar,47.1,1010
1419,Fruit,Papaya,Solar,43.7,1104
1420,Vegetable,Spinach,Freeze-Drying,27.0,1958
1421,Vegetable,Spinach,Hot-Air,78.3,168
1422,Fruit,Papaya,Vacuum,51.1,712
1423,Fruit,Custard Apple,Hot-Air,42.7,321
1424,Vegetable,Mushroom,Sun,50.6,695
1425,Vegetable,Mushroom,Sun,32.9,747
1426,Vegetable,Cauliflower,Hot-Air,51.2,392
1427,Fruit,Fig,Solar,42.4,1197
1428,Vegetable,Chili Pepper,Freeze-Drying,26.9,1797
1429,Vegetable,Pumpkin,Hot-Air,82.8,385
1430,Vegetable,Tomato,Sun,39.3,1209
1431,Fruit,Watermelon,Vacuum,40.6,463
1432,Fruit,Strawberry,Solar,36.1,1120
1433,Vegetable,Ginger,Freeze-Drying,-39.6,982
1434,Vegetable,Drumstick,Solar,42.7,557
1435,Vegetable,Cauliflower,Solar,49.6,570
1436,Vegetable,Green Peas,Solar,47.5,1034
1437,Fruit,Strawberry,Microwave,68.9,41
1438,Vegetable,Cabbage,Microwave,79.9,51
1439,Fruit,Orange,Freeze-Drying,1.7,1412
1440,Vegetable,Okra,Sun,51.3,1310
1441,Fruit,Watermelon,Vacuum,50.3,298
1442,Vegetable,Green Peas,Freeze-Drying,1.4,946
1443,Fruit,Custard Apple,Solar,63.4,818
1444,Vegetable,Bell Pepper,Microwave,55.6,90
1445,Vegetable,Spinach,Solar,50.7,950
1446,Fruit,Banana,Microwave,61.9,19
1447,Fruit,Blueberry,Vacuum,56.4,777
1448,Fruit,Cherry,Hot-Air,68.4,427
1449,Fruit,Apple,Hot-Air,68.9,471
1450,Fruit,Lemon,Sun,35.5,767
1451,Vegetable,Onion,Hot-Air,57.6,358
1452,Vegetable,Beetroot,Hot-Air,74.2,491
1453,Vegetable,Bell Pepper,Solar,41.9,1055
1454,Fruit,Blueberry,Microwave,73.8,86
1455,Fruit,Pomegranate,Microwave,72.5,70
1456,Fruit,Strawberry,Solar,57.5,1039
1457,Fruit,Cherry,Solar,54.4,817
1458,Vegetable,Ginger,Microwave,64.7,14
1459,Fruit,Apricot,Hot-Air,59.8,411
1460,Fruit,Grapes,Microwave,72.9,14
1461,Vegetable,Chili Pepper,Vacuum,45.0,533
1462,Vegetable,Cauliflower,Hot-Air,45.0,332
1463,Vegetable,Drumstick,Microwave,68.8,88
1464,Fruit,Grapes,Freeze-Drying,3.4,1622
1465,Vegetable,Cucumber,Vacuum,33.9,353
1466,Vegetable,Bitter Gourd,Microwave,71.4,72
1467,Fruit,Kiwi,Hot-Air,82.0,476
1468,Vegetable,Mushroom,Solar,51.6,775
1469,Vegetable,Chili Pepper,Solar,51.6,1001
1470,Vegetable,Eggplant,Freeze-Drying,6.1,1834
1471,Vegetable,Cauliflower,Solar,46.2,938
1472,Fruit,Apple,Solar,61.9,951
1473,Vegetable,Cauliflower,Hot-Air,52.9,206
1474,Vegetable,Beetroot,Microwave,65.3,53
1475,Fruit,Mango,Vacuum,65.3,397
1476,Vegetable,Onion,Microwave,58.2,29
1477,Fruit,Kiwi,Hot-Air,77.0,384
1478,Vegetable,Drumstick,Microwave,69.3,47
1479,Fruit,Mango,Vacuum,57.9,659
1480,Fruit,Papaya,Vacuum,56.0,397
1481,Vegetable,Spinach,Sun,45.9,1042
1482,Vegetable,Mint Leaves,Solar,46.8,640
1483,Vegetable,Chili Pepper,Solar,41.2,1019
1484,Vegetable,Mint Leaves,Hot-Air,87.4,348
1485,Vegetable,Carrot,Vacuum,42.5,502
1486,Vegetable,Ginger,Sun,42.6,1095
1487,Vegetable,Mint Leaves,Sun,44.2,798
1488,Vegetable,Spinach,Vacuum,60.3,678
1489,Vegetable,Eggplant,Sun,46.5,900
1490,Fruit,Apricot,Freeze-Drying,-3.6,1822
1491,Fruit,Pomegranate,Vacuum,60.4,282
1492,Fruit,Strawberry,Vacuum,42.8,510
1493,Fruit,Watermelon,Vacuum,69.3,650
1494,Fruit,Mango,Solar,60.0,1123
1495,Fruit,Jackfruit,Hot-Air,65.0,462
1496,Fruit,Custard Apple,Sun,34.2,1249
1497,Fruit,Jackfruit,Solar,52.9,1015
1498,Vegetable,Mint Leaves,Freeze-Drying,-14.8,793
1499,Fruit,Strawberry,Hot-Air,63.7,176
1500,Fruit,Apple,Freeze-Drying,18.3,1604
1501,Vegetable,Green Peas,Freeze-Drying,21.8,1846
1502,Fruit,Watermelon,Sun,38.1,956
1503,Fruit,Watermelon,Freeze-Drying,-37.5,852
1504,Vegetable,Okra,Freeze-Drying,-35.3,1635
1505,Vegetable,Beetroot,Sun,33.7,630
1506,Fruit,Sapota,Freeze-Drying,3.4,682
1507,Fruit,Custard Apple,Hot-Air,51.0,486
1508,Fruit,Apple,Freeze-Drying,-39.5,816
1509,Fruit,Banana,Sun,45.7,1269
1510,Fruit,Papaya,Microwave,57.9,53
1511,Vegetable,Green Peas,Microwave,79.4,60
1512,Fruit,Grapes,Hot-Air,84.5,467
1513,Fruit,Plum,Freeze-Drying,7.0,1561
1514,Fruit,Guava,Microwave,61.6,58
1515,Vegetable,Potato,Sun,54.7,811
1516,Fruit,Custard Apple,Solar,62.2,961
1517,Fruit,Sapota,Freeze-Drying,24.0,1301
1518,Vegetable,Cauliflower,Freeze-Drying,-13.8,642
1519,Vegetable,Carrot,Microwave,72.7,22
1520,Vegetable,Potato,Vacuum,40.1,730
1521,Vegetable,Onion,Microwave,75.4,20
1522,Vegetable,Spinach,Microwave,55.2,26
1523,Vegetable,Chili Pepper,Microwave,58.9,58
1524,Fruit,Peach,Microwave,61.0,44
1525,Vegetable,Mint Leaves,Hot-Air,69.1,383
1526,Fruit,Sapota,Microwave,60.3,90
1527,Fruit,Pineapple,Freeze-Drying,19.5,1805
1528,Vegetable,Garlic,Vacuum,39.2,238
1529,Fruit,Guava,Hot-Air,60.8,367
1530,Vegetable,Garlic,Vacuum,37.8,420
1531,Vegetable,Broccoli,Vacuum,36.2,233
1532,Fruit,Lemon,Freeze-Drying,10.3,1347
1533,Vegetable,Eggplant,Solar,45.1,562
1534,Vegetable,Broccoli,Sun,53.9,832
1535,Fruit,Grapes,Hot-Air,62.7,438
1536,Fruit,Mango,Microwave,56.9,75
1537,Fruit,Banana,Sun,49.7,1481
1538,Fruit,Lychee,Hot-Air,71.3,338
1539,Vegetable,Radish,Microwave,73.1,60
1540,Vegetable,Green Peas,Freeze-Drying,-39.8,627
1541,Fruit,Plum,Microwave,55.8,26
1542,Vegetable,Cauliflower,Freeze-Drying,14.4,703
1543,Fruit,Apple,Solar,39.5,1155
1544,Vegetable,Green Peas,Hot-Air,64.8,359
1545,Fruit,Sapota,Sun,41.1,1498
1546,Vegetable,Bell Pepper,Freeze-Drying,8.4,1217
1547,Vegetable,Drumstick,Solar,42.9,896
1548,Fruit,Pomegranate,Solar,57.4,916
1549,Fruit,Apple,Vacuum,33.9,515
1550,Vegetable,Beetroot,Freeze-Drying,12.7,710
1551,Vegetable,Radish,Hot-Air,79.4,279
1552,Vegetable,Green Peas,Vacuum,42.5,423
1553,Fruit,Kiwi,Sun,44.4,899
1554,Vegetable,Cauliflower,Vacuum,42.2,657
1555,Vegetable,Drumstick,Hot-Air,83.4,296
1556,Fruit,Mango,Solar,60.2,1197
1557,Vegetable,Broccoli,Freeze-Drying,4.2,1183
1558,Vegetable,Coriander Leaves,Hot-Air,74.4,241
1559,Fruit,Banana,Microwave,58.7,73
1560,Vegetable,Drumstick,Microwave,61.3,69
1561,Fruit,Guava,Freeze-Drying,13.3,1797
1562,Vegetable,Green Peas,Sun,43.9,902
1563,Fruit,Cherry,Vacuum,36.9,426
1564,Fruit,Custard Apple,Freeze-Drying,4.3,1026
1565,Vegetable,Bell Pepper,Sun,42.0,809
1566,Vegetable,Bitter Gourd,Hot-Air,89.5,369
1567,Vegetable,Onion,Freeze-Drying,-31.8,1681
1568,Vegetable,Cauliflower,Sun,42.8,793
1569,Vegetable,Tomato,Freeze-Drying,-23.6,1394
1570,Fruit,Papaya,Solar,58.4,1046
1571,Fruit,Plum,Microwave,60.8,70
1572,Fruit,Fig,Vacuum,54.4,745
1573,Vegetable,Coriander Leaves,Microwave,67.2,90
1574,Vegetable,Bitter Gourd,Microwave,73.5,83
1575,Vegetable,Mushroom,Hot-Air,49.5,410
1576,Vegetable,Carrot,Sun,50.2,621
1577,Fruit,Grapes,Microwave,75.3,36
1578,Fruit,Custard Apple,Solar,48.3,543
1579,Fruit,Apple,Sun,32.9,949
1580,Fruit,Banana,Vacuum,41.2,488
1581,Vegetable,Cucumber,Sun,44.6,1382
1582,Vegetable,Pumpkin,Solar,49.0,801
1583,Fruit,Pomegranate,Freeze-Drying,-1.3,689
1584,Fruit,Jackfruit,Vacuum,54.1,427
1585,Fruit,Watermelon,Hot-Air,49.8,353
1586,Fruit,Banana,Sun,50.9,1123
1587,Vegetable,Bitter Gourd,Microwave,76.6,51
1588,Vegetable,Bell Pepper,Freeze-Drying,5.0,673
1589,Vegetable,Drumstick,Solar,45.0,1132
1590,Fruit,Watermelon,Freeze-Drying,-3.4,1031
1591,Vegetable,Beetroot,Solar,47.3,849
1592,Fruit,Papaya,Microwave,62.4,42
1593,Vegetable,Cucumber,Hot-Air,47.3,319
1594,Vegetable,Cucumber,Hot-Air,80.7,487
1595,Fruit,Papaya,Microwave,63.2,69
1596,Fruit,Pear,Solar,48.7,519
1597,Fruit,Cherry,Hot-Air,60.6,495
1598,Fruit,Guava,Freeze-Drying,-29.9,1916
1599,Vegetable,Drumstick,Hot-Air,49.3,301
1600,Fruit,Papaya,Freeze-Drying,-22.3,754
1601,Vegetable,Coriander Leaves,Freeze-Drying,-24.4,800
1602,Fruit,Cherry,Hot-Air,85.2,355
1603,Vegetable,Mint Leaves,Microwave,76.4,22
1604,Vegetable,Drumstick,Sun,30.6,1248
1605,Vegetable,Ginger,Hot-Air,71.6,380
1606,Vegetable,Garlic,Microwave,79.4,62
1607,Vegetable,Cucumber,Vacuum,68.6,418
1608,Fruit,Grapes,Hot-Air,71.9,121
1609,Vegetable,Eggplant,Freeze-Drying,6.8,1783
1610,Vegetable,Radish,Freeze-Drying,2.2,997
1611,Vegetable,Bitter Gourd,Solar,39.3,1087
1612,Vegetable,Eggplant,Sun,49.6,838
1613,Fruit,Blueberry,Sun,46.5,1229
1614,Fruit,Kiwi,Freeze-Drying,-22.0,1012
1615,Vegetable,Spinach,Microwave,67.9,49
1616,Vegetable,Eggplant,Hot-Air,70.2,256
1617,Vegetable,Green Peas,Solar,48.2,603
1618,Fruit,Mango,Hot-Air,62.0,563
1619,Fruit,Dragon Fruit,Vacuum,51.2,508
1620,Fruit,Cherry,Hot-Air,57.2,477
1621,Fruit,Grapes,Vacuum,34.9,629
1622,Vegetable,Pumpkin,Sun,50.0,998
1623,Vegetable,Chili Pepper,Microwave,58.9,30
1624,Fruit,Dragon Fruit,Hot-Air,59.7,157
1625,Vegetable,Chili Pepper,Microwave,77.4,37
1626,Fruit,Pineapple,Microwave,51.5,79
1627,Fruit,Banana,Hot-Air,49.0,156
